#Year,Month,Port1,Port2,Route,$Value,$Real
2014,1,Ayers Rock,Sydney,Ayers Rock - Sydney,418,531.8197343
2022,4,Port Macquarie,Sydney,Port Macquarie - Sydney,298.75,317.7032117
2017,7,Cairns,Sydney,Cairns - Sydney,248,298.535009
2022,2,Brisbane,Rockhampton,Brisbane - Rockhampton,218,235.9467312
2014,2,Brisbane,Proserpine,Brisbane - Proserpine,158,201.0227704
2014,5,Brisbane,Rockhampton,Brisbane - Rockhampton,150,189.9433428
2018,3,Brisbane,Hobart,Brisbane - Hobart,528,628.8170515
2016,7,Brisbane,Mount Isa,Brisbane - Mount Isa,698,855.5923218
2018,9,Kalgoorlie,Perth,Kalgoorlie - Perth,568,671.0907489
2023,4,Adelaide,Canberra,Adelaide - Canberra,379.21,379.21
2017,10,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,370,442.6137377
2017,11,Cairns,Melbourne,Cairns - Melbourne,280,334.9509367
2020,1,Brisbane,Sydney,Brisbane - Sydney,150,172.5128645
2021,1,Canberra,Melbourne,Canberra - Melbourne,238,270.7022901
2011,9,Newcastle,Gold Coast,Newcastle - Gold Coast,318,427.2925852
2010,11,Brisbane,Cairns,Brisbane - Cairns,248,343.2074303
2019,9,Cairns,Sydney,Cairns - Sydney,239.9,278.7746101
2022,6,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,281,298.8271213
2022,12,Melbourne,Perth,Melbourne - Perth,871,892.9747706
2012,10,Cairns,Sydney,Cairns - Sydney,368,483.8117647
2013,11,Brisbane,Rockhampton,Brisbane - Rockhampton,172,220.0877863
2018,12,Brisbane,Cairns,Brisbane - Cairns,372,437.2059597
2010,6,Alice Springs,Darwin,Alice Springs - Darwin,598,837.0751566
2015,12,Brisbane,Mackay,Brisbane - Mackay,204,252.3653137
2022,10,Broome,Perth,Broome - Perth,514.01,526.9781422
2014,12,Canberra,Sydney,Canberra - Sydney,278,349.7166979
2013,10,Ballina,Sydney,Ballina - Sydney,118,150.990458
2019,2,Adelaide,Port Lincoln,Adelaide - Port Lincoln,282,331.4303243
2010,7,Perth,Newman,Perth - Newman,350,486.373057
2022,7,Adelaide,Perth,Adelaide - Perth,446,465.7990654
2018,12,Karratha,Perth,Karratha - Perth,799,939.0525855
2022,9,Devonport,Melbourne,Devonport - Melbourne,408,426.1121495
2018,3,Adelaide,Alice Springs,Adelaide - Alice Springs,645,768.1571936
2020,9,Cairns,Townsville,Cairns - Townsville,238.52,275.2627539
2011,7,Hobart,Melbourne,Hobart - Melbourne,153,205.5841683
2012,4,Perth,Sydney,Perth - Sydney,258,344.5996016
2021,6,Brisbane,Perth,Brisbane - Perth,550,620.8333333
2010,7,Adelaide,Canberra,Adelaide - Canberra,258,358.5264249
2022,6,Cairns,Sydney,Cairns - Sydney,277,294.5733545
2011,11,Alice Springs,Melbourne,Alice Springs - Melbourne,568,763.2144289
2013,3,Darwin,Perth,Darwin - Perth,478,625.9746094
2012,12,Canberra,Sydney,Canberra - Sydney,210,276.0882353
2011,2,Sydney,Wagga Wagga,Sydney - Wagga Wagga,231,315.128179
2017,8,Sunshine Coast,Sydney,Sunshine Coast - Sydney,204,245.5691203
2013,4,Brisbane,Canberra,Brisbane - Canberra,280,365.2529183
2021,11,Albury,Sydney,Albury - Sydney,267.7,295.9486397
2013,7,Melbourne,Perth,Melbourne - Perth,284.9,367.3566346
2010,8,Gold Coast,Sydney,Gold Coast - Sydney,121.26,168.5074197
2023,4,Launceston,Sydney,Launceston - Sydney,204,204
2016,7,Sydney,Townsville,Sydney - Townsville,320,392.2486289
2011,10,Adelaide,Perth,Adelaide - Perth,444,596.5971944
2015,5,Perth,Newman,Perth - Newman,598,745.9702326
2017,8,Newcastle,Gold Coast,Newcastle - Gold Coast,234,281.6822262
2019,11,Brisbane,Cairns,Brisbane - Cairns,191,220.4225473
2023,2,Brisbane,Gladstone,Brisbane - Gladstone,333.99,337.7681674
2019,2,Darwin,Perth,Darwin - Perth,534,627.6021034
2011,8,Hamilton Island,Sydney,Hamilton Island - Sydney,330,443.4168337
2016,5,Perth,Port Hedland,Perth - Port Hedland,518,639.6298343
2012,3,Gold Coast,Sydney,Gold Coast - Sydney,158,212.0900901
2019,4,Adelaide,Gold Coast,Adelaide - Gold Coast,275,321.2325784
2018,12,Brisbane,Mackay,Brisbane - Mackay,232,272.6660824
2018,10,Perth,Port Hedland,Perth - Port Hedland,658,773.3374233
2021,12,Melbourne,Gold Coast,Melbourne - Gold Coast,156,172.4616653
2020,9,Brisbane,Sydney,Brisbane - Sydney,171,197.3416523
2010,6,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,274.3590814
2021,9,Albury,Sydney,Albury - Sydney,297.7,333.5135338
2010,5,Adelaide,Sydney,Adelaide - Sydney,76,106.3841336
2020,1,Melbourne,Sydney,Melbourne - Sydney,156,179.4133791
2014,12,Albury,Sydney,Albury - Sydney,227.39,286.0506473
2017,6,Canberra,Melbourne,Canberra - Melbourne,310,375.5284553
2014,7,Hobart,Sydney,Hobart - Sydney,158,199.1334586
2019,2,Sunshine Coast,Sydney,Sunshine Coast - Sydney,201,236.2322524
2011,9,Darwin,Melbourne,Darwin - Melbourne,613,823.6803607
2012,4,Brisbane,Cairns,Brisbane - Cairns,208,277.8167331
2015,8,Adelaide,Sydney,Adelaide - Sydney,130,161.4166667
2011,11,Adelaide,Perth,Adelaide - Perth,407,546.8807615
2021,2,Melbourne,Newcastle,Melbourne - Newcastle,133,151.2748092
2022,5,Launceston,Melbourne,Launceston - Melbourne,168,178.6582078
2023,1,Adelaide,Port Lincoln,Adelaide - Port Lincoln,348,351.9366516
2016,6,Adelaide,Melbourne,Adelaide - Melbourne,98,121.0110497
2015,3,Geraldton,Perth,Geraldton - Perth,338,424.3988764
2011,2,Brisbane,Cairns,Brisbane - Cairns,238,324.6775178
2014,3,Adelaide,Melbourne,Adelaide - Melbourne,105.9,134.736148
2019,11,Darwin,Melbourne,Darwin - Melbourne,425,490.4690189
2013,4,Canberra,Melbourne,Canberra - Melbourne,234,305.2470817
2018,10,Melbourne,Townsville,Melbourne - Townsville,411,483.0420684
2018,10,Melbourne,Sydney,Melbourne - Sydney,142,166.890447
2021,8,Hobart,Sydney,Hobart - Sydney,114,127.7142857
2020,8,Launceston,Melbourne,Launceston - Melbourne,254,293.1273666
2019,6,Kalgoorlie,Perth,Kalgoorlie - Perth,348,406.5052265
2023,5,Adelaide,Gold Coast,Adelaide - Gold Coast,357.37,357.37
2012,12,Alice Springs,Melbourne,Alice Springs - Melbourne,704,925.5529412
2023,4,Brisbane,Newcastle,Brisbane - Newcastle,132,132
2016,10,Hobart,Sydney,Hobart - Sydney,248,302.3345455
2010,5,Brisbane,Mackay,Brisbane - Mackay,168.95,236.4947286
2023,7,Perth,Sydney,Perth - Sydney,477,477
2010,11,Sydney,Wagga Wagga,Sydney - Wagga Wagga,220.51,305.1639938
2015,1,Melbourne,Mildura,Melbourne - Mildura,238,298.8370787
2013,5,Albury,Sydney,Albury - Sydney,169,220.4562257
2015,4,Alice Springs,Melbourne,Alice Springs - Melbourne,668,833.2911628
2017,11,Broome,Perth,Broome - Perth,524,626.8367529
2012,6,Armidale,Sydney,Armidale - Sydney,246,328.5717131
2018,9,Brisbane,Gladstone,Brisbane - Gladstone,310,366.2643172
2015,10,Adelaide,Brisbane,Adelaide - Brisbane,208,257.3136531
2015,10,Brisbane,Townsville,Brisbane - Townsville,238,294.4261993
2014,5,Melbourne,Sydney,Melbourne - Sydney,91.9,116.3719547
2010,7,Dubbo,Sydney,Dubbo - Sydney,249.42,346.6033368
2021,1,Adelaide,Sydney,Adelaide - Sydney,206,234.3053435
2014,1,Avalon,Brisbane,Avalon - Brisbane,258,328.2523719
2018,6,Newcastle,Gold Coast,Newcastle - Gold Coast,200,237.3451327
2013,10,Gold Coast,Sydney,Gold Coast - Sydney,99.9,127.8300573
2016,10,Brisbane,Newcastle,Brisbane - Newcastle,118,143.8527273
2022,11,Brisbane,Newcastle,Brisbane - Newcastle,152,155.8348624
2017,3,Launceston,Melbourne,Launceston - Melbourne,194,235.4334842
2012,9,Broome,Perth,Broome - Perth,586,771.9312377
2010,3,Melbourne,Newcastle,Melbourne - Newcastle,158,222.5609244
2017,12,Albury,Sydney,Albury - Sydney,286.79,343.0734969
2019,4,Melbourne,Townsville,Melbourne - Townsville,322,376.1341463
2022,4,Darwin,Melbourne,Darwin - Melbourne,369,392.4099921
2020,10,Brisbane,Rockhampton,Brisbane - Rockhampton,278,318.0870307
2015,8,Canberra,Sydney,Canberra - Sydney,278,345.1833333
2016,6,Brisbane,Gladstone,Brisbane - Gladstone,225,277.8314917
2016,12,Perth,Sydney,Perth - Sydney,554,675.3763636
2020,3,Cairns,Townsville,Cairns - Townsville,280.32,322.3920412
2023,7,Brisbane,Melbourne,Brisbane - Melbourne,218,218
2018,10,Adelaide,Perth,Adelaide - Perth,384,451.3093777
2020,3,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,426,489.9365352
2023,4,Brisbane,Mount Isa,Brisbane - Mount Isa,657.99,657.99
2019,4,Brisbane,Hobart,Brisbane - Hobart,388,453.2299652
2014,8,Adelaide,Brisbane,Adelaide - Brisbane,178,224.3402256
2013,9,Ayers Rock,Sydney,Ayers Rock - Sydney,689,888.4125
2014,2,Brisbane,Roma,Brisbane - Roma,306,389.3225806
2010,6,Adelaide,Melbourne,Adelaide - Melbourne,56,78.38830898
2023,8,Brisbane,Hobart,Brisbane - Hobart,337,337
2019,3,Perth,Sydney,Perth - Sydney,379.9,446.4907099
2020,12,Perth,Sydney,Perth - Sydney,541,619.0110922
2018,5,Cairns,Sydney,Cairns - Sydney,264.9,314.3636283
2011,3,Brisbane,Darwin,Brisbane - Darwin,370,504.750763
2011,6,Adelaide,Brisbane,Adelaide - Brisbane,338,456.9133065
2014,9,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,344,433.556391
2021,11,Darwin,Sydney,Darwin - Sydney,718,793.7658697
2018,8,Kalgoorlie,Perth,Kalgoorlie - Perth,556.51,657.5153392
2021,5,Brisbane,Emerald,Brisbane - Emerald,344,388.3030303
2012,2,Adelaide,Perth,Adelaide - Perth,368,493.981982
2021,1,Devonport,Melbourne,Devonport - Melbourne,354,402.6412214
2019,1,Adelaide,Sydney,Adelaide - Sydney,176.9,207.9078878
2022,4,Sydney,Wagga Wagga,Sydney - Wagga Wagga,316.5,336.5793021
2017,7,Brisbane,Proserpine,Brisbane - Proserpine,211,253.9955117
2014,8,Ballina,Sydney,Ballina - Sydney,104,131.075188
2017,7,Melbourne,Mildura,Melbourne - Mildura,230.02,276.8912208
2015,1,Kalgoorlie,Perth,Kalgoorlie - Perth,430,539.9157303
2021,1,Brisbane,Cairns,Brisbane - Cairns,194,220.6564885
2015,6,Brisbane,Darwin,Brisbane - Darwin,598,745.9702326
2018,10,Brisbane,Mackay,Brisbane - Mackay,235,276.1919369
2019,8,Proserpine,Sydney,Proserpine - Sydney,273.9,318.2841421
2017,7,Sunshine Coast,Sydney,Sunshine Coast - Sydney,148,178.1579892
2019,8,Hamilton Island,Sydney,Hamilton Island - Sydney,330,383.47487
2015,8,Devonport,Melbourne,Devonport - Melbourne,290,360.0833333
2015,5,Melbourne,Sydney,Melbourne - Sydney,98,122.2493023
2014,6,Adelaide,Sydney,Adelaide - Sydney,158,200.0736544
2022,10,Avalon,Sydney,Avalon - Sydney,142,145.5825688
2017,4,Hobart,Sydney,Hobart - Sydney,190,230.1626016
2014,1,Brisbane,Townsville,Brisbane - Townsville,228,290.0834915
2022,3,Brisbane,Mount Isa,Brisbane - Mount Isa,831,899.4116223
2017,8,Adelaide,Alice Springs,Adelaide - Alice Springs,444,534.4739677
2018,6,Brisbane,Mackay,Brisbane - Mackay,201,238.5318584
2010,5,Karratha,Perth,Karratha - Perth,318.12,445.3015866
2013,11,Darwin,Perth,Darwin - Perth,547,699.9303435
2015,5,Canberra,Sydney,Canberra - Sydney,278,346.7888372
2017,5,Brisbane,Rockhampton,Brisbane - Rockhampton,222,268.9268293
2021,8,Ballina,Sydney,Ballina - Sydney,130,145.6390977
2019,11,Brisbane,Canberra,Brisbane - Canberra,235.9,272.2391566
2016,10,Melbourne,Mildura,Melbourne - Mildura,250,304.7727273
2014,7,Brisbane,Proserpine,Brisbane - Proserpine,148,186.5300752
2022,6,Sydney,Tamworth,Sydney - Tamworth,321,341.3647898
2022,6,Adelaide,Sydney,Adelaide - Sydney,180,191.4195083
2022,9,Melbourne,Sydney,Melbourne - Sydney,221,230.8107477
2016,4,Cairns,Sydney,Cairns - Sydney,238,293.8839779
2017,10,Gold Coast,Sydney,Gold Coast - Sydney,114,136.3728814
2014,7,Ayers Rock,Sydney,Ayers Rock - Sydney,598,753.6823308
2011,12,Adelaide,Gold Coast,Adelaide - Gold Coast,628,843.8356713
2019,2,Launceston,Sydney,Launceston - Sydney,329,386.6687117
2021,8,Albury,Sydney,Albury - Sydney,267.7,299.9045113
2019,4,Hobart,Sydney,Hobart - Sydney,455,531.4939024
2013,4,Launceston,Melbourne,Launceston - Melbourne,108,140.8832685
2018,3,Perth,Port Hedland,Perth - Port Hedland,686,816.9857904
2018,3,Brisbane,Cairns,Brisbane - Cairns,318,378.7193606
2010,5,Alice Springs,Darwin,Alice Springs - Darwin,568,795.0814196
2010,2,Melbourne,Gold Coast,Melbourne - Gold Coast,136,191.5714286
2021,7,Albury,Sydney,Albury - Sydney,198,221.8195489
2015,6,Hobart,Melbourne,Hobart - Melbourne,94,117.2595349
2018,1,Hobart,Sydney,Hobart - Sydney,228,271.5346359
2022,6,Brisbane,Canberra,Brisbane - Canberra,344,365.8239492
2011,11,Newcastle,Gold Coast,Newcastle - Gold Coast,238,319.7975952
2023,7,Brisbane,Newcastle,Brisbane - Newcastle,166,166
2021,11,Melbourne,Townsville,Melbourne - Townsville,197,217.7881286
2014,1,Adelaide,Darwin,Adelaide - Darwin,328,417.313093
2011,1,Sydney,Townsville,Sydney - Townsville,198,270.1098678
2017,6,Brisbane,Mackay,Brisbane - Mackay,178,215.6260163
2013,4,Adelaide,Sydney,Adelaide - Sydney,210,273.9396887
2021,12,Ballina,Sydney,Ballina - Sydney,134,148.1401484
2010,6,Coffs Harbour,Sydney,Coffs Harbour - Sydney,154,215.5678497
2011,12,Bundaberg,Brisbane,Bundaberg - Brisbane,209,280.8306613
2021,5,Brisbane,Gladstone,Brisbane - Gladstone,222,250.5909091
2016,9,Bundaberg,Brisbane,Bundaberg - Brisbane,238,291.7349177
2015,8,Paraburdoo,Perth,Paraburdoo - Perth,638,792.1833333
2016,7,Launceston,Sydney,Launceston - Sydney,128,156.8994516
2022,2,Sydney,Wagga Wagga,Sydney - Wagga Wagga,297.7,322.2079903
2021,9,Canberra,Melbourne,Canberra - Melbourne,268,300.2406015
2015,9,Brisbane,Hamilton Island,Brisbane - Hamilton Island,468,581.1
2013,11,Brisbane,Sydney,Brisbane - Sydney,139.9,179.0132634
2013,12,Albury,Sydney,Albury - Sydney,301.09,385.2687882
2010,6,Adelaide,Sydney,Adelaide - Sydney,86,120.3820459
2010,7,Launceston,Melbourne,Launceston - Melbourne,57.9,80.46
2017,7,Brisbane,Canberra,Brisbane - Canberra,396,476.6929982
2022,9,Adelaide,Canberra,Adelaide - Canberra,518,540.9953271
2022,9,Launceston,Melbourne,Launceston - Melbourne,320,334.2056075
2015,5,Karratha,Perth,Karratha - Perth,630,785.8883721
2014,4,Launceston,Sydney,Launceston - Sydney,378,478.6572238
2016,8,Broome,Perth,Broome - Perth,578,708.4990859
2011,2,Karratha,Perth,Karratha - Perth,321.51,438.6011292
2017,1,Perth,Newman,Perth - Newman,610,740.280543
2019,7,Avalon,Sydney,Avalon - Sydney,102,118.5285962
2020,6,Cairns,Townsville,Cairns - Townsville,281.86,330.3970804
2022,1,Brisbane,Gladstone,Brisbane - Gladstone,360,389.6368039
2021,7,Port Macquarie,Sydney,Port Macquarie - Sydney,198,221.8195489
2018,4,Hobart,Melbourne,Hobart - Melbourne,107,126.979646
2023,5,Brisbane,Townsville,Brisbane - Townsville,245,245
2020,10,Darwin,Sydney,Darwin - Sydney,314,359.278157
2013,11,Brisbane,Mackay,Brisbane - Mackay,160,204.7328244
2018,2,Albury,Sydney,Albury - Sydney,291,346.5639432
2022,1,Armidale,Sydney,Armidale - Sydney,257.95,279.1855932
2019,7,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,307,356.7478336
2017,4,Brisbane,Cairns,Brisbane - Cairns,208,251.9674797
2013,3,Perth,Newman,Perth - Newman,458,599.7832031
2018,3,Melbourne,Newcastle,Melbourne - Newcastle,180,214.3694494
2013,3,Hamilton Island,Sydney,Hamilton Island - Sydney,318,416.4433594
2010,6,Darwin,Melbourne,Darwin - Melbourne,458,641.1043841
2019,5,Brisbane,Hamilton Island,Brisbane - Hamilton Island,434,506.9634146
2017,5,Brisbane,Gladstone,Brisbane - Gladstone,260,314.9593496
2022,12,Brisbane,Mackay,Brisbane - Mackay,318.01,326.0331881
2021,7,Darwin,Melbourne,Darwin - Melbourne,598,669.9398496
2022,2,Cairns,Sydney,Cairns - Sydney,228,246.7699758
2015,5,Adelaide,Brisbane,Adelaide - Brisbane,150,187.1162791
2016,1,Cairns,Townsville,Cairns - Townsville,211,261.5073937
2014,11,Sydney,Tamworth,Sydney - Tamworth,237,298.1397749
2011,5,Paraburdoo,Perth,Paraburdoo - Perth,520,702.9435484
2022,3,Armidale,Sydney,Armidale - Sydney,287.95,311.6553269
2010,3,Sydney,Townsville,Sydney - Townsville,228,321.1638655
2013,8,Cairns,Melbourne,Cairns - Melbourne,269.9,348.0152885
2021,5,Brisbane,Newcastle,Brisbane - Newcastle,157,177.219697
2021,8,Adelaide,Brisbane,Adelaide - Brisbane,218,244.2255639
2016,3,Paraburdoo,Perth,Paraburdoo - Perth,490,607.2920518
2015,2,Brisbane,Canberra,Brisbane - Canberra,378,474.6235955
2018,1,Darwin,Perth,Darwin - Perth,709,844.3774423
2020,7,Cairns,Melbourne,Cairns - Melbourne,530,611.6437177
2019,9,Paraburdoo,Perth,Paraburdoo - Perth,861,1000.520797
2022,4,Cairns,Gold Coast,Cairns - Gold Coast,160,170.1506741
2013,12,Dubbo,Sydney,Dubbo - Sydney,290,371.0782443
2011,6,Hobart,Sydney,Hobart - Sydney,198,267.6592742
2018,3,Hobart,Melbourne,Hobart - Melbourne,170.9,203.5318828
2022,10,Cairns,Gold Coast,Cairns - Gold Coast,194,198.8944954
2014,8,Karratha,Perth,Karratha - Perth,590,743.5996241
2017,10,Albury,Sydney,Albury - Sydney,238,284.7082962
2014,3,Darwin,Melbourne,Darwin - Melbourne,428,544.5426945
2022,1,Sydney,Townsville,Sydney - Townsville,210,227.2881356
2011,2,Adelaide,Brisbane,Adelaide - Brisbane,248,338.3194303
2010,6,Brisbane,Rockhampton,Brisbane - Rockhampton,56,78.38830898
2021,6,Melbourne,Perth,Melbourne - Perth,438,494.4090909
2021,2,Brisbane,Melbourne,Brisbane - Melbourne,204,232.0305344
2014,6,Alice Springs,Melbourne,Alice Springs - Melbourne,224.9,284.7883853
2023,6,Brisbane,Rockhampton,Brisbane - Rockhampton,402,402
2012,11,Alice Springs,Darwin,Alice Springs - Darwin,605,795.3970588
2010,5,Broome,Perth,Broome - Perth,378,529.1210856
2022,8,Armidale,Sydney,Armidale - Sydney,328.85,343.4484813
2010,4,Perth,Port Hedland,Perth - Port Hedland,298,417.1377871
2019,4,Adelaide,Brisbane,Adelaide - Brisbane,234.9,274.3910279
2015,2,Brisbane,Mackay,Brisbane - Mackay,148,185.8314607
2015,4,Melbourne,Perth,Melbourne - Perth,258,321.84
2015,6,Canberra,Melbourne,Canberra - Melbourne,338,421.6353488
2010,1,Port Macquarie,Sydney,Port Macquarie - Sydney,144,202.8403361
2014,5,Darwin,Sydney,Darwin - Sydney,368,465.9943343
2021,11,Port Macquarie,Sydney,Port Macquarie - Sydney,198,218.8936521
2019,7,Brisbane,Emerald,Brisbane - Emerald,403,468.3041594
2015,2,Geraldton,Perth,Geraldton - Perth,354,444.488764
2014,3,Adelaide,Port Lincoln,Adelaide - Port Lincoln,234,297.7172676
2020,10,Gold Coast,Sydney,Gold Coast - Sydney,141,161.3319113
2022,2,Brisbane,Emerald,Brisbane - Emerald,378,409.1186441
2022,11,Brisbane,Perth,Brisbane - Perth,950,973.9678899
2017,11,Cairns,Gold Coast,Cairns - Gold Coast,264,315.8108831
2017,6,Sydney,Wagga Wagga,Sydney - Wagga Wagga,299.51,362.8210569
2018,5,Gold Coast,Sydney,Gold Coast - Sydney,99.9,118.5538938
2013,6,Brisbane,Darwin,Brisbane - Darwin,540,704.4163424
2022,7,Albury,Sydney,Albury - Sydney,317.6,331.6990654
2011,7,Canberra,Melbourne,Canberra - Melbourne,180,241.8637275
2020,8,Kalgoorlie,Perth,Kalgoorlie - Perth,413,476.6204819
2017,3,Brisbane,Roma,Brisbane - Roma,584,708.7276018
2010,1,Melbourne,Gold Coast,Melbourne - Gold Coast,118,166.2163866
2012,7,Cairns,Gold Coast,Cairns - Gold Coast,298,392.5520629
2019,7,Hobart,Sydney,Hobart - Sydney,239,277.7287695
2020,8,Brisbane,Newcastle,Brisbane - Newcastle,148,170.7986231
2017,9,Sunshine Coast,Sydney,Sunshine Coast - Sydney,248,298.535009
2021,4,Brisbane,Emerald,Brisbane - Emerald,340,383.7878788
2014,2,Brisbane,Cairns,Brisbane - Cairns,198,251.914611
2019,12,Darwin,Perth,Darwin - Perth,719,829.7581756
2021,6,Darwin,Melbourne,Darwin - Melbourne,666,751.7727273
2021,10,Melbourne,Perth,Melbourne - Perth,580.01,641.2146826
2019,1,Devonport,Melbourne,Devonport - Melbourne,384,451.3093777
2018,6,Adelaide,Port Lincoln,Adelaide - Port Lincoln,284.35,337.4454425
2022,3,Cairns,Gold Coast,Cairns - Gold Coast,304,329.0266344
2011,5,Kalgoorlie,Perth,Kalgoorlie - Perth,393.22,531.560504
2020,12,Launceston,Sydney,Launceston - Sydney,308,352.4129693
2018,4,Brisbane,Hobart,Brisbane - Hobart,288,341.7769912
2013,6,Cairns,Gold Coast,Cairns - Gold Coast,188,245.2412451
2016,8,Adelaide,Darwin,Adelaide - Darwin,358,438.8281536
2020,7,Brisbane,Canberra,Brisbane - Canberra,594,685.5025818
2013,10,Dubbo,Sydney,Dubbo - Sydney,282.39,361.3406393
2015,5,Perth,Sydney,Perth - Sydney,348,434.1097674
2016,2,Brisbane,Perth,Brisbane - Perth,548,679.1756007
2015,9,Sydney,Townsville,Sydney - Townsville,358,444.5166667
2011,3,Adelaide,Perth,Adelaide - Perth,338,461.0966429
2021,8,Melbourne,Mildura,Melbourne - Mildura,297.19,332.9421805
2019,10,Melbourne,Sydney,Melbourne - Sydney,148.9,171.8372633
2010,9,Alice Springs,Sydney,Alice Springs - Sydney,658,914.3813472
2017,1,Cairns,Sydney,Cairns - Sydney,258,313.1022624
2013,2,Hobart,Melbourne,Hobart - Melbourne,129.9,170.1131836
2010,4,Brisbane,Gladstone,Brisbane - Gladstone,182,254.7620042
2012,11,Alice Springs,Melbourne,Alice Springs - Melbourne,618,812.4882353
2023,3,Darwin,Melbourne,Darwin - Melbourne,614,620.9457014
2016,4,Newcastle,Gold Coast,Newcastle - Gold Coast,178,219.7955801
2010,7,Hervey Bay,Sydney,Hervey Bay - Sydney,228,316.8373057
2011,2,Darwin,Perth,Darwin - Perth,444,605.7009156
2011,12,Brisbane,Darwin,Brisbane - Darwin,443,595.253507
2016,6,Brisbane,Cairns,Brisbane - Cairns,228,281.5359116
2020,8,Melbourne,Perth,Melbourne - Perth,618,713.1996558
2018,1,Canberra,Melbourne,Canberra - Melbourne,326.01,388.2588011
2015,2,Hobart,Melbourne,Hobart - Melbourne,108,135.6067416
2017,6,Port Macquarie,Sydney,Port Macquarie - Sydney,198,239.8536585
2018,3,Melbourne,Sydney,Melbourne - Sydney,205.9,245.2148313
2018,2,Broome,Perth,Broome - Perth,524,624.053286
2013,9,Broome,Perth,Broome - Perth,548,706.6038462
2011,2,Brisbane,Mackay,Brisbane - Mackay,178,242.8260427
2011,12,Dubbo,Sydney,Dubbo - Sydney,265.8,357.1521042
2014,1,Broome,Perth,Broome - Perth,446,567.4440228
2021,5,Brisbane,Darwin,Brisbane - Darwin,638,720.1666667
2013,4,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,139.9,182.4960117
2022,1,Brisbane,Sydney,Brisbane - Sydney,88,95.24455206
2021,3,Brisbane,Perth,Brisbane - Perth,678,771.1603053
2019,6,Brisbane,Hamilton Island,Brisbane - Hamilton Island,325,379.6385017
2012,12,Brisbane,Gladstone,Brisbane - Gladstone,212,278.7176471
2013,8,Darwin,Melbourne,Darwin - Melbourne,518,667.9211538
2012,11,Albury,Sydney,Albury - Sydney,224,294.4941176
2015,1,Brisbane,Gladstone,Brisbane - Gladstone,250,313.9044944
2018,6,Brisbane,Hamilton Island,Brisbane - Hamilton Island,394.54,468.2107434
2014,11,Perth,Port Hedland,Perth - Port Hedland,668,840.326454
2014,3,Darwin,Sydney,Darwin - Sydney,358,455.4819734
2012,12,Perth,Sydney,Perth - Sydney,818,1075.429412
2021,5,Armidale,Sydney,Armidale - Sydney,257.95,291.1708333
2021,9,Adelaide,Canberra,Adelaide - Canberra,246,275.593985
2021,8,Paraburdoo,Perth,Paraburdoo - Perth,706,790.9323308
2019,9,Brisbane,Townsville,Brisbane - Townsville,288,334.6689775
2010,12,Hobart,Sydney,Hobart - Sydney,338,467.7585139
2019,8,Adelaide,Sydney,Adelaide - Sydney,208,241.7053726
2011,7,Darwin,Melbourne,Darwin - Melbourne,468,628.8456914
2010,9,Ballina,Sydney,Ballina - Sydney,248,344.6300518
2013,3,Sydney,Tamworth,Sydney - Tamworth,349,457.0400391
2019,3,Brisbane,Proserpine,Brisbane - Proserpine,120,141.0341805
2014,10,Perth,Sydney,Perth - Sydney,320,402.5515947
2019,11,Hamilton Island,Sydney,Hamilton Island - Sydney,308,355.4457831
2012,11,Adelaide,Melbourne,Adelaide - Melbourne,158,207.7235294
2017,11,Brisbane,Canberra,Brisbane - Canberra,402,480.8938448
2014,6,Karratha,Perth,Karratha - Perth,590,747.1104816
2021,12,Adelaide,Port Lincoln,Adelaide - Port Lincoln,267.68,295.9265293
2022,1,Gold Coast,Sydney,Gold Coast - Sydney,88,95.24455206
2011,4,Melbourne,Sydney,Melbourne - Sydney,69.9,94.49183468
2022,2,Brisbane,Proserpine,Brisbane - Proserpine,132,142.8668281
2014,3,Brisbane,Rockhampton,Brisbane - Rockhampton,178,226.4686907
2021,2,Melbourne,Perth,Melbourne - Perth,418,475.4351145
2016,4,Launceston,Sydney,Launceston - Sydney,168,207.4475138
2017,8,Brisbane,Hamilton Island,Brisbane - Hamilton Island,277.01,333.4563824
2019,12,Perth,Newman,Perth - Newman,638,736.2805508
2022,1,Sunshine Coast,Sydney,Sunshine Coast - Sydney,106,114.7263923
2015,1,Darwin,Perth,Darwin - Perth,590,740.8146067
2021,4,Brisbane,Darwin,Brisbane - Darwin,648,731.4545455
2023,4,Melbourne,Perth,Melbourne - Perth,510,510
2023,8,Perth,Port Hedland,Perth - Port Hedland,697.99,697.99
2021,7,Gold Coast,Sydney,Gold Coast - Sydney,89,99.70676692
2019,3,Launceston,Melbourne,Launceston - Melbourne,114,133.9824715
2022,4,Cairns,Melbourne,Cairns - Melbourne,210,223.3227597
2011,10,Devonport,Melbourne,Devonport - Melbourne,293,393.7004008
2012,4,Darwin,Melbourne,Darwin - Melbourne,351,468.8157371
2017,3,Hobart,Sydney,Hobart - Sydney,407,493.9248869
2013,6,Adelaide,Sydney,Adelaide - Sydney,188,245.2412451
