#Year,Month,Port1,Port2,Route,$Value,$Real
2015,10,Gold Coast,Sydney,Gold Coast - Sydney,94,116.2859779
2016,8,Melbourne,Perth,Melbourne - Perth,300,367.7330896
2019,4,Darwin,Perth,Darwin - Perth,762,890.1062718
2019,11,Brisbane,Darwin,Brisbane - Darwin,284.9,328.7873494
2017,7,Darwin,Melbourne,Darwin - Melbourne,578,695.7791741
2021,2,Cairns,Sydney,Cairns - Sydney,288,327.5725191
2021,7,Cairns,Gold Coast,Cairns - Gold Coast,222,248.7067669
2015,8,Sydney,Townsville,Sydney - Townsville,278,345.1833333
2018,10,Melbourne,Newcastle,Melbourne - Newcastle,237,278.5425066
2010,8,Brisbane,Mount Isa,Brisbane - Mount Isa,600,833.7823834
2020,6,Brisbane,Canberra,Brisbane - Canberra,470,550.9353147
2015,3,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,260,326.4606742
2015,11,Kalgoorlie,Perth,Kalgoorlie - Perth,438,541.8431734
2015,12,Brisbane,Mount Isa,Brisbane - Mount Isa,570,705.1383764
2019,6,Melbourne,Newcastle,Melbourne - Newcastle,144,168.2090592
2020,7,Kalgoorlie,Perth,Kalgoorlie - Perth,338,390.0671256
2018,1,Broome,Perth,Broome - Perth,492,585.9431616
2014,6,Melbourne,Perth,Melbourne - Perth,295.9,374.6949008
2018,9,Melbourne,Sydney,Melbourne - Sydney,160.9,190.1029956
2016,6,Armidale,Sydney,Armidale - Sydney,238.81,294.8841713
2011,10,Broome,Perth,Broome - Perth,530,712.1543086
2019,5,Devonport,Melbourne,Devonport - Melbourne,342,399.4965157
2014,1,Sydney,Wagga Wagga,Sydney - Wagga Wagga,282.02,358.8129222
2010,9,Darwin,Melbourne,Darwin - Melbourne,327.9,455.6620725
2014,1,Kalgoorlie,Perth,Kalgoorlie - Perth,319,405.8624288
2018,4,Adelaide,Sydney,Adelaide - Sydney,179.9,213.4919469
2021,6,Cairns,Melbourne,Cairns - Melbourne,378,426.6818182
2017,9,Brisbane,Hamilton Island,Brisbane - Hamilton Island,521,627.1642729
2021,7,Adelaide,Melbourne,Adelaide - Melbourne,98,109.7894737
2023,4,Hamilton Island,Sydney,Hamilton Island - Sydney,355,355
2014,10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,317.82,399.809212
